Name,Indian rupee
9/2/1981,3883.78
9/3/1981,3915.03
9/4/1981,3961.01
9/7/1981,3984.82
9/8/1981,3994.96
9/9/1981,4015.05
9/10/1981,4037.58
9/11/1981,4134.65
9/14/1981,4189.57
9/15/1981,4055.56
9/16/1981,4036.72
9/17/1981,4154.32
9/18/1981,4050.46
9/21/1981,4141.22
9/22/1981,4200.68
9/23/1981,4219.69
9/24/1981,4158.83
9/25/1981,4173.47
9/28/1981,3907.2
9/29/1981,3956.45
9/30/1981,3870.4
10/1/1981,3940.61
10/2/1981,3946.19
10/5/1981,3978.21
10/6/1981,3977.69
10/7/1981,4015.1
10/8/1981,3948.11
10/9/1981,4101.17
10/12/1981,4125.19
10/13/1981,4073.01
10/14/1981,4061.86
10/15/1981,4093.46
10/16/1981,4031.5
10/19/1981,4033.56
10/20/1981,4064.64
10/21/1981,4026.17
10/22/1981,4012.59
10/23/1981,3993.68
10/26/1981,3983.6
10/27/1981,3923.47
10/28/1981,3928.44
10/29/1981,3834.57
10/30/1981,3876.38
11/2/1981,3923.41
11/3/1981,3909.68
11/4/1981,3939.91
11/5/1981,3933.28
11/6/1981,3925
11/9/1981,3908.14
11/10/1981,3896.83
11/11/1981,3757.7
11/12/1981,3721.46
11/13/1981,3753.99
11/16/1981,3707.61
11/17/1981,3621.4
11/18/1981,3630.18
11/19/1981,3648.4
11/20/1981,3669.22
11/23/1981,3613.8
11/24/1981,3604.75
11/25/1981,3695.14
11/26/1981,3717.38
11/27/1981,3710.01
11/30/1981,3814.95
12/1/1981,3727.01
12/2/1981,3698.32
12/3/1981,3842.72
12/4/1981,3869.99
12/7/1981,3831.52
12/8/1981,3835.3
12/9/1981,3720.95
12/10/1981,3747.97
12/11/1981,3890.8
12/14/1981,3828.26
12/15/1981,3736.94
12/16/1981,3776.34
12/17/1981,3776.84
12/18/1981,3765.51
12/21/1981,3812.14
12/22/1981,3692.38
12/23/1981,3667.81
12/24/1981,3678.75
12/25/1981,3678.75
12/28/1981,3678.75
12/29/1981,3612.39
12/30/1981,3598.47
12/31/1981,3625.14
1/1/1982,3625.14
1/4/1982,3620.31
1/5/1982,3656.48
1/6/1982,3655.98
1/7/1982,3610.74
1/8/1982,3629.47
1/11/1982,3615.58
1/12/1982,3573.64
1/13/1982,3559.68
1/14/1982,3391.07
1/15/1982,3439.07
1/18/1982,3343.6
1/19/1982,3425.99
1/20/1982,3394.84
1/21/1982,3433.19
1/22/1982,3458.93
1/25/1982,3422.15
1/26/1982,3395.9
1/27/1982,3492.23
1/28/1982,3474.72
1/29/1982,3546.03
2/1/1982,3501.75
2/2/1982,3433.3
2/3/1982,3465.57
2/4/1982,3491.99
2/5/1982,3544.68
2/8/1982,3481.97
2/9/1982,3466.41
2/10/1982,3498.15
2/11/1982,3476.5
2/12/1982,3485.26
2/15/1982,3451.54
2/16/1982,3469.69
2/17/1982,3473.27
2/18/1982,3379.94
2/19/1982,3396.53
2/22/1982,3324.2
2/23/1982,3338.98
2/24/1982,3359.27
2/25/1982,3396.09
2/26/1982,3373.88
3/1/1982,3322.13
3/2/1982,3366.03
3/3/1982,3294.97
3/4/1982,3198.4
3/5/1982,3129.17
3/8/1982,3116.02
3/9/1982,3019.77
3/10/1982,3079.82
3/11/1982,3091.85
3/12/1982,2994.42
3/15/1982,2915.71
3/16/1982,2983.05
3/17/1982,2908.07
3/18/1982,2986.12
3/19/1982,2945.78
3/22/1982,2952.38
3/23/1982,3036.23
3/24/1982,3092.03
3/25/1982,3053.99
3/26/1982,3003.82
3/29/1982,2976.02
3/30/1982,3033.97
3/31/1982,2987.61
4/1/1982,3036.67
4/2/1982,3047.78
4/5/1982,3154.75
4/6/1982,3268.13
4/7/1982,3324.15
4/8/1982,3278.37
4/9/1982,3278.37
4/12/1982,3278.37
4/13/1982,3293.86
4/14/1982,3436.49
4/15/1982,3394.93
4/16/1982,3408.1
4/19/1982,3334.72
4/20/1982,3244.55
4/21/1982,3239.23
4/22/1982,3229.51
4/23/1982,3248.29
4/26/1982,3347.79
4/27/1982,3278.37
4/28/1982,3333.42
4/29/1982,3261.98
4/30/1982,3322.12
5/3/1982,3320.45
5/4/1982,3197.41
5/5/1982,3159.08
5/6/1982,3089.35
5/7/1982,3100.48
5/10/1982,3024.83
5/11/1982,3025.76
5/12/1982,3064.15
5/13/1982,3066.66
5/14/1982,3075.36
5/17/1982,3131.01
5/18/1982,3164.16
5/19/1982,3212.8
5/20/1982,3213.21
5/21/1982,3193.73
5/24/1982,3090.76
5/25/1982,3035.45
5/26/1982,3088.66
5/27/1982,3027.05
5/28/1982,3072.29
5/31/1982,3072.29
6/1/1982,2994.32
6/2/1982,2948.07
6/3/1982,2996.45
6/4/1982,2968.01
6/7/1982,3012.77
6/8/1982,3105.19
6/9/1982,2994.48
6/10/1982,3098.95
6/11/1982,3057.68
6/14/1982,3053.39
6/15/1982,2980.42
6/16/1982,2999.37
6/17/1982,2984.41
6/18/1982,2931.58
6/21/1982,2830.7
6/22/1982,2857.58
6/23/1982,2858.8
6/24/1982,2943.03
6/25/1982,2900.93
6/28/1982,2890.28
6/29/1982,2961.16
6/30/1982,2971.91
7/1/1982,2968.75
7/2/1982,2995.32
7/5/1982,3034
7/6/1982,3010.8
7/7/1982,2944.47
7/8/1982,2995.34
7/9/1982,3078.84
7/12/1982,3215.26
7/13/1982,3252.87
7/14/1982,3387.91
7/15/1982,3337.61
7/16/1982,3311.83
7/19/1982,3343.88
7/20/1982,3279.58
7/21/1982,3417.83
7/22/1982,3405.93
